sentence,label,tokens,tree
"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.6944400072097778,"The|Rock|is|destined|to|be|the|21st|Century|'s|new|``|Conan|''|and|that|he|'s|going|to|make|a|splash|even|greater|than|Arnold|Schwarzenegger|,|Jean-Claud|Van|Damme|or|Steven|Segal|.",70|70|68|67|63|62|61|60|58|58|57|56|56|64|65|55|54|53|52|51|49|47|47|46|46|45|40|40|41|39|38|38|43|37|37|69|44|39|42|41|42|43|44|45|50|48|48|49|50|51|52|53|54|55|66|57|59|59|60|61|62|63|64|65|66|67|68|69|71|71|0
The gorgeously elaborate continuation of `` The Lord of the Rings '' trilogy is so huge that a column of words can not adequately describe co-writer\/director Peter Jackson 's expanded vision of J.R.R. Tolkien 's Middle-earth .,0.833329975605011,The|gorgeously|elaborate|continuation|of|``|The|Lord|of|the|Rings|''|trilogy|is|so|huge|that|a|column|of|words|can|not|adequately|describe|co-writer\/director|Peter|Jackson|'s|expanded|vision|of|J.R.R.|Tolkien|'s|Middle-earth|.,71|70|69|69|67|67|66|64|63|62|62|61|61|58|57|57|56|53|53|52|52|49|49|50|48|45|44|43|43|42|42|41|39|38|38|40|60|39|40|41|47|46|44|45|46|47|48|51|50|51|55|54|54|55|56|59|58|59|60|73|65|63|64|65|66|68|68|72|70|71|72|73|0
"Singer\/composer Bryan Adams contributes a slew of songs -- a few potential hits , a few more simply intrusive to the story -- but the whole package certainly captures the intended , er , spirit of the piece .",0.625,"Singer\/composer|Bryan|Adams|contributes|a|slew|of|songs|--|a|few|potential|hits|,|a|few|more|simply|intrusive|to|the|story|--|but|the|whole|package|certainly|captures|the|intended|,|er|,|spirit|of|the|piece|.",72|71|71|70|68|68|67|67|66|63|62|62|60|60|58|58|56|55|55|54|53|53|65|75|51|50|50|49|48|46|44|43|42|42|45|41|40|40|77|41|47|43|44|45|46|47|48|49|52|51|52|76|54|57|56|57|59|59|61|61|64|63|64|65|66|74|69|69|70|73|72|73|74|75|76|77|0
You 'd think by now America would have had enough of plucky British eccentrics with hearts of gold .,0.5,You|'d|think|by|now|America|would|have|had|enough|of|plucky|British|eccentrics|with|hearts|of|gold|.,36|35|34|33|33|32|30|29|27|26|25|24|23|23|22|21|20|20|31|21|22|28|24|25|26|27|28|29|30|31|32|37|34|35|36|37|0
Yet the act is still charming here .,0.7222200036048889,Yet|the|act|is|still|charming|here|.,15|13|13|10|9|9|11|12|10|11|12|14|14|15|0
"Whether or not you 're enlightened by any of Derrida 's lectures on `` the other '' and `` the self , '' Derrida is an undeniably fascinating and playful fellow .",0.833329975605011,"Whether|or|not|you|'re|enlightened|by|any|of|Derrida|'s|lectures|on|``|the|other|''|and|``|the|self|,|''|Derrida|is|an|undeniably|fascinating|and|playful|fellow|.",62|59|59|58|57|56|55|54|53|52|52|51|50|49|44|44|45|46|47|43|43|42|41|40|38|37|35|33|33|34|36|39|34|35|36|37|38|39|40|41|42|63|48|45|46|47|48|49|50|51|61|53|54|55|56|57|58|60|60|61|62|63|0
Just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .,0.875,Just|the|labour|involved|in|creating|the|layered|richness|of|the|imagery|in|this|chiaroscuro|of|madness|and|light|is|astonishing|.,41|40|40|39|38|37|35|34|34|33|31|31|30|28|28|27|25|25|26|23|23|24|24|43|26|27|29|29|30|32|32|33|36|35|36|37|38|39|42|41|42|43|0
Part of the charm of Satin Rouge is that it avoids the obvious with humour and lightness .,0.7222200036048889,Part|of|the|charm|of|Satin|Rouge|is|that|it|avoids|the|obvious|with|humour|and|lightness|.,34|33|31|31|30|29|29|27|26|25|23|22|22|21|19|19|20|28|20|21|24|23|24|25|26|27|28|35|30|32|32|33|34|35|0
a screenplay more ingeniously constructed than `` Memento '',0.833329975605011,a|screenplay|more|ingeniously|constructed|than|``|Memento|'',16|15|15|14|13|10|10|11|12|11|12|13|14|17|16|17|0
`` Extreme Ops '' exceeds expectations .,0.7361099720001221,``|Extreme|Ops|''|exceeds|expectations|.,13|11|11|10|8|8|9|9|10|12|12|13|0
